fold,r2,mae,rmse
1,0.9853101294279617,0.005143874012150198,0.011967735163977783
2,0.9871240376348365,0.004868564801289868,0.01079259635837415
3,0.9747733614330769,0.006546836517163574,0.016941413820613146
4,0.9911588876816099,0.004200151153928177,0.009258188584471742
5,0.9862484997412534,0.004840784375393298,0.011867092158498342
